Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1229.78,45540,1229.78,45540
1229.8,45620,1229.8,45620
1229.81,45660,1229.81,45660
1229.82,45700,1229.82,45700
1229.83,45750,1229.83,45750
1229.84,45790,1229.84,45790
1229.85,45830,1229.85,45830
1229.86,45870,1229.86,45870
1229.87,45910,1229.87,45910
1229.88,45950,1229.88,45950
1229.89,45990,1229.89,45990
1229.9,46040,1229.9,46040
1229.91,46080,1229.91,46080
1229.92,46120,1229.92,46120
1229.93,46160,1229.93,46160
1229.94,46200,1229.94,46200
1229.95,46240,1229.95,46240
1229.96,46280,1229.96,46280
1229.97,46330,1229.97,46330
1229.98,46370,1229.98,46370
1229.99,46410,1229.99,46410
1230,46450,1230,46450
1230.01,46500,1230.01,46500
1230.02,46550,1230.02,46550
1230.03,46610,1230.03,46610
1230.04,46660,1230.04,46660
1230.05,46710,1230.05,46710
1230.06,46760,1230.06,46760
1230.07,46810,1230.07,46810
1230.08,46870,1230.08,46870
1230.09,46920,1230.09,46920
1230.1,46970,1230.1,46970
1230.11,47020,1230.11,47020
1230.12,47070,1230.12,47070
1230.13,47130,1230.13,47130
1230.14,47180,1230.14,47180
1230.15,47230,1230.15,47230
1230.16,47280,1230.16,47280
1230.17,47340,1230.17,47340
1230.18,47390,1230.18,47390
1230.19,47440,1230.19,47440
1230.2,47490,1230.2,47490
1230.21,47550,1230.21,47550
1230.22,47600,1230.22,47600
1230.23,47650,1230.23,47650
1230.24,47700,1230.24,47700
1230.25,47750,1230.25,47750
1230.26,47800,1230.26,47800
1230.27,47860,1230.27,47860
1230.28,47910,1230.28,47910
1230.29,47960,1230.29,47960
1230.3,48010,1230.3,48010
1230.31,48060,1230.31,48060
1230.32,48120,1230.32,48120
1230.33,48170,1230.33,48170
1230.34,48220,1230.34,48220
1230.35,48270,1230.35,48270
1230.36,48320,1230.36,48320
1230.37,48380,1230.37,48380
1230.38,48430,1230.38,48430
1230.39,48500,1230.39,48500
1230.4,48530,1230.4,48530
1230.41,48590,1230.41,48590
1230.42,48640,1230.42,48640
1230.43,48690,1230.43,48690
1230.44,48740,1230.44,48740
1230.45,48790,1230.45,48790
1230.46,48850,1230.46,48850
1230.47,48900,1230.47,48900
1230.48,48950,1230.48,48950
1230.49,49000,1230.49,49000
1230.5,49050,1230.5,49050
1230.51,49110,1230.51,49110
1230.52,49160,1230.52,49160
1230.53,49210,1230.53,49210
1230.54,49260,1230.54,49260
1230.55,49310,1230.55,49310
1230.56,49370,1230.56,49370
1230.57,49420,1230.57,49420
1230.58,49470,1230.58,49470
1230.59,49520,1230.59,49520
1230.6,49570,1230.6,49570
1230.61,49630,1230.61,49630
1230.62,49680,1230.62,49680
1230.63,49730,1230.63,49730
1230.64,49780,1230.64,49780
1230.65,49840,1230.65,49840
1230.66,49890,1230.66,49890
1230.67,49940,1230.67,49940
1230.68,49980,1230.68,49980
1230.69,50040,1230.69,50040
1230.7,50100,1230.7,50100
1230.71,50150,1230.71,50150
1230.72,50200,1230.72,50200
1230.73,50250,1230.73,50250
1230.74,50300,1230.74,50300
1230.75,50360,1230.75,50360
1230.76,50410,1230.76,50410
1230.77,50460,1230.77,50460
1230.78,50510,1230.78,50510
1230.79,50560,1230.79,50560
1230.8,50620,1230.8,50620
1230.81,50670,1230.81,50670
1230.82,50720,1230.82,50720
1230.83,50770,1230.83,50770
1230.84,50820,1230.84,50820
1230.85,50880,1230.85,50880
1230.86,50930,1230.86,50930
1230.87,50980,1230.87,50980
1230.88,51030,1230.88,51030
1230.89,51090,1230.89,51090
1230.9,51140,1230.9,51140
1230.91,51190,1230.91,51190
1230.92,51240,1230.92,51240
1230.93,51290,1230.93,51290
1230.94,51350,1230.94,51350
1230.95,51400,1230.95,51400
1230.96,51430,1230.96,51430
1230.97,51490,1230.97,51490
1230.98,51550,1230.98,51550
1230.99,51610,1230.99,51610
1231,51660,1231,51660
1231.01,51710,1231.01,51710
1231.02,51760,1231.02,51760
1231.03,51810,1231.03,51810
1231.04,51880,1231.04,51880
1231.05,51920,1231.05,51920
1231.06,51970,1231.06,51970
1231.07,52020,1231.07,52020
1231.08,52070,1231.08,52070
1231.09,52130,1231.09,52130
1231.1,52180,1231.1,52180
1231.11,52230,1231.11,52230
1231.12,52280,1231.12,52280
1231.13,52340,1231.13,52340
1231.14,52390,1231.14,52390
1231.15,52440,1231.15,52440
1231.16,52490,1231.16,52490
1231.17,52540,1231.17,52540
1231.18,52600,1231.18,52600
1231.19,52650,1231.19,52650
1231.2,52700,1231.2,52700
1231.21,52750,1231.21,52750
1231.22,52800,1231.22,52800
1231.23,52850,1231.23,52850
1231.24,52910,1231.24,52910
1231.25,52960,1231.25,52960
1231.26,53010,1231.26,53010
1231.27,53060,1231.27,53060
1231.28,53120,1231.28,53120
1231.29,53160,1231.29,53160
1231.3,53220,1231.3,53220
1231.31,53270,1231.31,53270
1231.32,53320,1231.32,53320
1231.33,53360,1231.33,53360
1231.34,53430,1231.34,53430
1231.35,53480,1231.35,53480
1231.36,53530,1231.36,53530
1231.37,53580,1231.37,53580
1231.38,53640,1231.38,53640
1231.39,53710,1231.39,53710
1231.4,53740,1231.4,53740
1231.41,53790,1231.41,53790
1231.42,53850,1231.42,53850
1231.43,53900,1231.43,53900
1231.44,53950,1231.44,53950
1231.45,54000,1231.45,54000
1231.46,54030,1231.46,54030
1231.47,54090,1231.47,54090
1231.48,54160,1231.48,54160
1231.49,54210,1231.49,54210
1231.5,54260,1231.5,54260
1231.51,54330,1231.51,54330
1231.52,54370,1231.52,54370
1231.53,54420,1231.53,54420
1231.54,54470,1231.54,54470
1231.55,54520,1231.55,54520
1231.56,54570,1231.56,54570
1231.57,54630,1231.57,54630
1231.58,54680,1231.58,54680
1231.59,54730,1231.59,54730
1231.6,54780,1231.6,54780
1231.61,54860,1231.61,54860
1231.62,54890,1231.62,54890
1231.63,54940,1231.63,54940
1231.64,54990,1231.64,54990
1231.65,55040,1231.65,55040
1231.66,55100,1231.66,55100
1231.67,55150,1231.67,55150
1231.68,55200,1231.68,55200
1231.69,55250,1231.69,55250
1231.7,55300,1231.7,55300
1231.71,55360,1231.71,55360
1231.72,55410,1231.72,55410
1231.73,55460,1231.73,55460
1231.74,55510,1231.74,55510
1231.75,55570,1231.75,55570
1231.76,55620,1231.76,55620
1231.77,55670,1231.77,55670
1231.78,55720,1231.78,55720
1231.79,55780,1231.79,55780
1231.8,55820,1231.8,55820
1231.81,55880,1231.81,55880
1231.82,55930,1231.82,55930
1231.83,55980,1231.83,55980
1231.84,56030,1231.84,56030
1231.85,56080,1231.85,56080
1231.86,56140,1231.86,56140
1231.87,56190,1231.87,56190
1231.88,56240,1231.88,56240
1231.89,56290,1231.89,56290
1231.9,56350,1231.9,56350
1231.91,56400,1231.91,56400
1231.92,56450,1231.92,56450
1231.93,56500,1231.93,56500
1231.94,56550,1231.94,56550
1231.95,56610,1231.95,56610
1231.96,56660,1231.96,56660
1231.97,56710,1231.97,56710
1231.98,56760,1231.98,56760
1231.99,56810,1231.99,56810
1232,56870,1232,56870
1232.01,56920,1232.01,56920
1232.02,56970,1232.02,56970
1232.03,57020,1232.03,57020
1232.04,57070,1232.04,57070
1232.05,57130,1232.05,57130
1232.06,57180,1232.06,57180
1232.07,57230,1232.07,57230
1232.08,57280,1232.08,57280
1232.09,57310,1232.09,57310
1232.1,57390,1232.1,57390
1232.11,57440,1232.11,57440
1232.12,57490,1232.12,57490
1232.13,57540,1232.13,57540
1232.14,57580,1232.14,57580
1232.15,57650,1232.15,57650
1232.16,57700,1232.16,57700
1232.17,57750,1232.17,57750
1232.18,57800,1232.18,57800
1232.19,57860,1232.19,57860
1232.2,57910,1232.2,57910
1232.21,57960,1232.21,57960
1232.22,58010,1232.22,58010
1232.23,58080,1232.23,58080
1232.24,58120,1232.24,58120
1232.25,58170,1232.25,58170
1232.26,58220,1232.26,58220
1232.27,58280,1232.27,58280
1232.28,58330,1232.28,58330
1232.29,58390,1232.29,58390
1232.3,58430,1232.3,58430
1232.31,58480,1232.31,58480
1232.32,58550,1232.32,58550
1232.33,58580,1232.33,58580
1232.34,58640,1232.34,58640
1232.35,58690,1232.35,58690
1232.36,58740,1232.36,58740
1232.37,58790,1232.37,58790
1232.38,58850,1232.38,58850
1232.39,58900,1232.39,58900
1232.4,58950,1232.4,58950
1232.41,59000,1232.41,59000
1232.42,59050,1232.42,59050
1232.43,59110,1232.43,59110
1232.44,59160,1232.44,59160
1232.45,59210,1232.45,59210
1232.46,59260,1232.46,59260
1232.47,59310,1232.47,59310
1232.48,59370,1232.48,59370
1232.49,59420,1232.49,59420
1232.5,59470,1232.5,59470
1232.51,59520,1232.51,59520
1232.52,59570,1232.52,59570
1232.53,59630,1232.53,59630
1232.54,59680,1232.54,59680
1232.55,59730,1232.55,59730
1232.56,59780,1232.56,59780
1232.57,59830,1232.57,59830
1232.58,59890,1232.58,59890
1232.59,59940,1232.59,59940
1232.6,59990,1232.6,59990
1232.61,60040,1232.61,60040
1232.62,60090,1232.62,60090
1232.63,60150,1232.63,60150
1232.64,60200,1232.64,60200
1232.65,60250,1232.65,60250
1232.66,60300,1232.66,60300
1232.67,60360,1232.67,60360
1232.68,60410,1232.68,60410
1232.69,60460,1232.69,60460
1232.7,60510,1232.7,60510
1232.71,60560,1232.71,60560
